,Proxy,area_name_en,area_lat,area_lon,nRecords,Average Meter Sale Price
0,Al Barshaa South Third,Al Barsha First,25.10849909,55.1923845,422,13547.73
1,Al Barshaa South Third,Al Barsha South Fifth,25.04291825,55.18747333,10807,14744.07
2,Al Barshaa South Third,Al Barsha South Fourth,25.05936493,55.21207713,65622,12186.81
3,Al Barshaa South Third,Al Barshaa South Second,25.07190314,55.23227541,8968,16233.77
4,Al Barshaa South Third,Al Barshaa South Third,25.06209482,55.23443163,19528,12637.13
5,Al Barshaa South Third,Al Goze Fourth,25.15204218,55.2538392,2110,7308.36
6,Al Barshaa South Third,Al Hebiah Fifth,25.00242864,55.24042905,6455,9633.91
7,Al Barshaa South Third,Al Hebiah First,25.04998492,55.23894687,10692,13771.885
8,Al Barshaa South Third,Al Hebiah Fourth,25.03502194,55.21354639,17171,9009.01
9,Al Barshaa South Third,Al Hebiah Second,25.03836176,55.24784173,3709,13715.51
10,Al Barshaa South Third,Al Hebiah Sixth,25.02119178,55.26280555,329,11976.48
11,Al Barshaa South Third,Al Hebiah Third,25.02147288,55.26216265,7220,13323.08
12,Al Barshaa South Third,Al Yelayiss 2,24.99404911,55.29142486,12528,11368.77
13,Al Barshaa South Third,Hadaeq Sheikh Mohammed Bin Rashid,25.1053253,55.26733804,24107,20679.89
14,Al Barshaa South Third,Madinat Hind 4,24.9981931,55.37157657,2320,12432.17
15,Al Barshaa South Third,Saih Shuaib 2,24.87549227,55.05686863,1236,14531.205
16,Al Barshaa South Third,Wadi Al Safa 2,25.10606176,55.36153117,6526,7788.780000000001
17,Al Barshaa South Third,Wadi Al Safa 3,25.11569338,55.32337167,8359,12701.4
18,Al Barshaa South Third,Wadi Al Safa 4,25.07281915,55.31302736,3588,19317.36
19,Al Barshaa South Third,Wadi Al Safa 5,25.08232101,55.36365192,18298,11760.315
20,Al Barshaa South Third,Wadi Al Safa 7,25.04253774,55.28449984,1560,8961.91
21,Business Bay,Al Safouh First,25.12303578,55.1792713,809,12108.42
22,Business Bay,Al Safouh Second,25.10001893,55.16360094,1214,27136.75
23,Business Bay,Al Satwa,25.21992155,55.2742099,1426,22212.985
24,Business Bay,Al Wasl,25.19685113,55.25356365,9670,23105.019999999997
25,Business Bay,Trade Center First,25.21780805,55.27795394,339,38891.34
26,Business Bay,Trade Center Second,25.21364395,55.28021207,1009,48906.94
27,Business Bay,Zaabeel First,25.2229504,55.30536808,1966,29218.14
28,Business Bay,Zaabeel Second,25.1988826,55.29829935,4099,22609.7
29,Madinat Dubai Almelaheyah,Al Kifaf,25.23424657,55.29696777,4160,18401.62
30,Madinat Dubai Almelaheyah,Al Thanyah Fifth,25.051959,55.15578,24609,12357.72
31,Madinat Dubai Almelaheyah,Al Thanyah First,25.0987035,55.1725124,1069,10387.56
32,Madinat Dubai Almelaheyah,Al Thanyah Third,25.094255,55.161612,9174,12559.64
33,Madinat Dubai Almelaheyah,Bukadra,25.1770677,55.3250371,7404,25994.56
34,Madinat Dubai Almelaheyah,Madinat Dubai Almelaheyah,25.266914,55.266119,11260,26411.84
35,Madinat Dubai Almelaheyah,Rega Al Buteen,25.25944987,55.31737608,90,8542.865000000002
36,Madinat Dubai Almelaheyah,Um Hurair Second,25.23840744,55.32760641,95,21521.83
37,Marsa Dubai,Island 2,25.1985959,55.2240363,362,41390.91
38,Marsa Dubai,Jumeirah First,25.2249316,55.2584809,2399,22239.52
39,Marsa Dubai,Jumeirah Second,25.2075147,55.2394827,302,65436.899999999994
40,Marsa Dubai,Marsa Dubai,25.09547176,55.13076456,56267,18179.64
41,Marsa Dubai,Palm Deira,25.33227698,55.2704399,4741,25232.92
42,Marsa Dubai,Palm Jumeirah,25.1193271,55.1317401,13937,18687.71
43,Marsa Dubai,Um Suqaim Third,25.14280454,55.18731602,3680,23638.045
44,Me'Aisem First,Al Qusais Industrial Fourth,25.29346782,55.40008641,111,7783.29
45,Me'Aisem First,Dubai Investment Park First,24.99222384,55.16651934,1641,8560.23
46,Me'Aisem First,Dubai Investment Park Second,24.97551093,55.20975585,3499,15771.19
47,Me'Aisem First,Jabal Ali,25.01126,55.06116,5174,7142.86
48,Me'Aisem First,Jabal Ali First,25.03192836,55.14232708,19525,11938.2
49,Me'Aisem First,Jabal Ali Industrial Second,24.95823558,55.10601052,2388,13397.154999999999
50,Me'Aisem First,Me'Aisem First,25.0177834,55.18312486,15880,10929.76
51,Me'Aisem First,Ras Al Khor Industrial First,25.17775008,55.33622108,2727,23411.58
